Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
10,1000,0.0,0.0,100.0,1000,4910,4910,1,98387.062500,0.000010
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.0,10000.0,1000,501461,501461,1,10048519.000000,0.000000
2,1000,0.0,0.0,10000.0,1000,493312,493312,1,9880813.000000,0.000000
3,1000,0.0,0.0,10000.0,1000,503406,503405,1,10080025.000000,0.000000
4,1000,0.0,0.0,10000.0,1000,508219,508218,1,10178196.000000,0.000000
5,1000,0.0,0.0,10000.0,1000,499568,499568,1,9999618.000000,0.000000
6,1000,0.0,0.0,10000.0,1000,505302,505301,1,10124347.000000,0.000000
7,1000,0.0,0.0,10000.0,1000,498817,498817,1,9985800.000000,0.000000
8,1000,0.0,0.0,10000.0,1000,494560,494560,1,9904800.000000,0.000000
9,1000,0.0,0.0,10000.0,1000,489033,489033,1,9791522.000000,0.000000
10,1000,0.0,0.0,10000.0,1000,501777,501777,1,10054240.000000,0.000000
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,10,0.0,0.0,10000.0,10,6690,6689,1,153089.125000,0.000007
2,10,0.0,0.0,10000.0,10,4397,4397,1,102516.695312,0.000010
3,10,0.0,0.0,10000.0,10,5140,5140,1,114715.015625,0.000009
4,10,0.0,0.0,10000.0,10,4672,4671,1,107254.960938,0.000009
5,10,0.0,0.0,10000.0,10,4290,4290,1,94052.703125,0.000011
6,10,0.0,0.0,10000.0,10,5623,5622,1,130772.906250,0.000008
7,10,0.0,0.0,10000.0,10,5043,5042,1,110308.992188,0.000009
8,10,0.0,0.0,10000.0,10,4353,4353,1,100662.789062,0.000010
9,10,0.0,0.0,10000.0,10,4701,4700,1,104871.187500,0.000010
10,10,0.0,0.0,10000.0,10,5160,5159,1,121889.093750,0.000008
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
